"type";"value";"display";"exclude";"params"
"points";"機關";;;"{"typ":""}"
"points";"內迎香";;;"{"typ":""}"
"points";"金津玉液";;;"{"typ":""}"
"points";"海泉";;;"{"typ":""}"
"points";"脅堂";;;"{"typ":""}"
"points";"臍旁";;;"{"typ":""}"
"points";"胞門子戶";;;"{"typ":""}"
"points";"肓俞";;;"{"typ":""}"
"points";"喘息";;;"{"typ":""}"
"points";"百勞";;;"{"typ":""}"
"points";"四花";;;"{"typ":""}"
"points";"夾脊";;;"{"typ":""}"
"points";"騎竹馬";;;"{"typ":""}"
"points";"竹杖";;;"{"typ":""}"
"points";"腰眼";;;"{"typ":""}"
"points";"痞根";;;"{"typ":""}"
"points";"肘尖";;;"{"typ":""}"
"points";"中泉";;;"{"typ":""}"
"points";"大骨空";;;"{"typ":""}"
"points";"小骨空";;;"{"typ":""}"
"points";"十宣";;;"{"typ":""}"
"points";"鬼哭";;;"{"typ":""}"
"points";"五虎";;;"{"typ":""}"
"points";"八邪";;;"{"typ":""}"
"points";"拳尖";;;"{"typ":""}"
"points";"中魁";;;"{"typ":""}"
"points";"二白";;;"{"typ":""}"
"points";"四縫";;;"{"typ":""}"
"points";"髖骨";;;"{"typ":""}"
"points";"鶴頂";;;"{"typ":""}"
"points";"膝眼";;;"{"typ":""}"
"points";"女膝";;;"{"typ":""}"
"points";"八風";;;"{"typ":""}"
"points";"內外踝尖";;;"{"typ":""}"
"points";"獨陰";;;"{"typ":""}"
"points";"球後";;;"{"typ":""}"
"points";"翳明";;;"{"typ":""}"
"points";"安眠1";;;"{"typ":""}"
"points";"安眠2";;;"{"typ":""}"
"points";"興奮";;;"{"typ":""}"
"points";"定喘";;;"{"typ":""}"
"points";"中喘";;;"{"typ":""}"
"points";"腎脊";;;"{"typ":""}"
"points";"頸臂";;;"{"typ":""}"
"points";"阿是";;;"{"typ":"十總阿是穴"}"
